OBJECTID,average_temperature,tropical_night,heat_wave,elder_dens,receiver,green_area
202,12.900000,6.000000,8.600000,0.00797497695,611.000000,42642.48950440000
203,13.500000,11.800000,10.400000,0.02035619983,231.000000,6902.86076452000
204,13.400000,10.900000,8.600000,0.00910917184,281.000000,1514.88234751000
205,13.300000,9.700000,9.800000,0.00780820641,316.000000,179.95777522600
206,13.600000,12.300000,10.300000,0.01239659761,253.000000,4288.24772148000
207,13.300000,10.200000,9.800000,0.00674351291,279.000000,24268.21455590000
208,13.500000,12.400000,11.500000,0.00747496815,362.000000,69023.63381120000
209,13.500000,11.900000,11.900000,0.00926133785,598.000000,6832.55050785000
210,13.400000,11.300000,11.800000,0.01049727887,383.000000,46103.67563640000
211,13.300000,10.500000,10.800000,0.00619150485,210.000000,24377.67504590000
212,13.400000,11.000000,11.200000,0.00745002343,430.000000,29700.28992050000
213,13.400000,10.800000,11.600000,0.01833027711,1590.000000,36853.32062710000
214,13.300000,10.200000,11.600000,0.01451148741,588.000000,94138.25079550000
215,13.500000,11.400000,10.800000,0.01768744893,387.000000,29356.93470620000
216,13.500000,12.300000,10.700000,0.00994937197,215.000000,666.03394273300
217,13.300000,9.700000,9.800000,0.01436732198,783.000000,16530.21351230000
218,13.200000,9.000000,9.800000,0.01569239096,472.000000,922.94560850400
219,13.500000,13.300000,12.600000,0.03344232218,180.000000,21101.88127500000
220,13.500000,12.400000,12.700000,0.01605825300,523.000000,64.66877032670
221,13.300000,11.000000,11.400000,0.01706729134,646.000000,705.86901008800
222,13.600000,13.500000,13.100000,0.01655130547,500.000000,161.79653095100
223,13.300000,11.100000,11.900000,0.01849818257,1135.000000,8355.07518338000
224,13.200000,10.000000,11.000000,0.02649058587,567.000000,2244.81491086000
225,13.100000,8.800000,11.000000,0.01935634593,1036.000000,1208.89516320000
226,13.200000,10.100000,11.500000,0.02707365483,267.000000,32988.68761810000
227,13.200000,9.300000,10.900000,0.01689722772,456.000000,1382.54269778000
228,13.100000,9.400000,10.900000,0.00987645988,157.000000,2698.64009215000
229,12.900000,7.100000,9.700000,0.02802345570,656.000000,0.00000000000
230,13.300000,12.000000,11.700000,0.02786175329,222.000000,0.00000000000
231,13.500000,12.900000,12.600000,0.03352981737,426.000000,903.82004392800
232,13.200000,9.300000,11.200000,0.02846345076,1440.000000,7580.61089697000
233,13.400000,11.800000,11.700000,0.03593508992,19.000000,3647.87299983000
234,13.300000,11.500000,11.800000,0.05042331291,1120.000000,916.23677466900
235,13.600000,13.200000,13.200000,0.01969245889,13.000000,22515.73673180000
236,13.400000,11.700000,11.900000,0.01920192862,943.000000,3302.28879971000
237,13.500000,11.200000,12.300000,0.02567653974,129.000000,22595.72041430000
238,13.300000,10.100000,11.200000,0.03428343225,174.000000,10126.11817970000
239,13.300000,9.700000,10.500000,0.01775160517,262.000000,13.83939352440
240,13.300000,9.500000,10.500000,0.06726350343,5271.000000,7309.01657263000
241,13.300000,10.300000,11.100000,0.01583394498,1189.000000,1369.70584460000
242,13.600000,12.800000,12.600000,0.01577525061,560.000000,358.58662966900
243,13.300000,10.000000,10.800000,0.02364057781,361.000000,0.00000000000
244,13.500000,12.300000,12.100000,0.01809829697,560.000000,0.00000000000
245,13.300000,9.800000,10.500000,0.01905190639,536.000000,868.12682886000
246,13.400000,11.000000,11.700000,0.01863398037,594.000000,28.67929654900
247,13.300000,9.300000,11.500000,0.03284783413,141.000000,41095.96909910000
248,13.300000,9.700000,11.200000,0.08876500089,2673.000000,0.00000000000
249,13.300000,9.800000,10.900000,0.08415946152,1890.000000,15898.80458940000
250,13.200000,8.900000,10.900000,0.02653966347,848.000000,10624.51167850000
251,13.200000,8.300000,11.000000,0.01784330525,618.000000,35436.84729800000
252,13.200000,8.500000,11.400000,0.02988645763,585.000000,16316.18849850000
253,13.100000,7.300000,10.600000,0.02131018729,1116.000000,110612.23967800000
254,13.100000,7.900000,10.600000,0.04858937657,1692.000000,24921.20574550000
255,13.400000,10.800000,11.600000,0.02063583159,1081.000000,4138.76526579000
256,13.300000,9.800000,10.700000,0.02530324678,321.000000,357.32713113200
257,13.500000,12.900000,12.300000,0.03571325939,131.000000,12484.07175200000
258,13.400000,11.200000,10.400000,0.04068112333,69.000000,5262.23206199000
259,13.400000,10.600000,9.200000,0.03534656995,290.000000,0.00000000000
260,13.400000,11.200000,10.200000,0.03169865650,662.000000,215.81727087300
261,13.500000,12.300000,11.600000,0.02836519611,312.000000,13373.24299930000
262,13.400000,11.300000,11.700000,0.03280120157,421.000000,0.00000000000
263,13.400000,11.100000,12.200000,0.02131425247,734.000000,0.00000000000
264,13.300000,9.700000,11.200000,0.03372647716,592.000000,490.14232296600
265,13.000000,7.400000,10.400000,0.02358824094,587.000000,0.00000000000
266,13.100000,7.800000,10.700000,0.02798394532,596.000000,0.00000000000
267,13.100000,7.800000,11.400000,0.03309864383,955.000000,0.00000000000
268,13.000000,6.700000,10.300000,0.02002158798,555.000000,411.30106896700
269,13.400000,10.400000,8.800000,0.01668988228,587.000000,9024.73239367000
270,13.400000,11.200000,10.600000,0.01926947177,775.000000,3714.97790544000
271,13.200000,9.500000,11.400000,0.02546027026,912.000000,22931.33510450000
272,13.400000,10.300000,8.800000,0.02254567198,468.000000,80483.74377830000
273,13.500000,10.000000,7.400000,0.03683382082,1258.000000,54536.26440950000
274,13.400000,8.700000,5.100000,0.01471168610,1031.000000,9402.20370528000
275,13.400000,9.500000,6.800000,0.01755904630,942.000000,29674.49859110000
276,13.400000,8.500000,5.000000,0.01564517815,743.000000,5334.71224430000
277,13.500000,9.600000,6.000000,0.02386120089,1223.000000,24785.37749390000
278,12.100000,3.800000,3.800000,0.05411557588,1115.000000,195.61686376000
279,13.300000,8.500000,6.000000,0.02024982114,275.000000,2989.28777949000
280,13.300000,7.100000,4.800000,0.02041659828,934.000000,0.00000000000
281,12.900000,5.200000,4.600000,0.02185177305,1240.000000,2986.91789302000
282,13.600000,12.500000,12.500000,0.05415119576,64.000000,128788.07372500000
283,13.600000,13.700000,13.300000,0.03368211061,336.000000,3173.48205439000
284,13.700000,15.000000,13.700000,0.03489407055,144.000000,28941.21468670000
285,13.600000,13.500000,13.000000,0.03575336159,216.000000,9347.39176863000
286,13.600000,13.300000,12.700000,0.02895512907,164.000000,77579.67706590000
287,13.500000,11.400000,10.100000,0.01882653347,650.000000,15967.57001410000
288,13.500000,11.800000,9.900000,0.02143928737,616.000000,4754.61803619000
289,13.400000,10.600000,8.700000,0.02233988971,494.000000,0.00000000000
290,13.400000,11.100000,8.200000,0.01501162010,466.000000,8764.07749553000
291,13.400000,10.900000,7.300000,0.02093943598,349.000000,0.00000000000
292,13.400000,10.500000,8.100000,0.02572165249,108.000000,1933.17968763000
293,13.500000,11.700000,9.100000,0.01985318467,466.000000,0.00000000000
294,13.400000,11.400000,9.500000,0.01639701003,422.000000,4696.19549622000
295,13.400000,11.900000,10.600000,0.02547457197,571.000000,22943.05089650000
296,13.500000,12.400000,11.000000,0.02543320472,653.000000,200.94192352800
297,13.700000,14.300000,13.000000,0.03053917878,1089.000000,11860.39617500000
298,13.500000,12.300000,11.200000,0.02394966713,506.000000,4783.50877406000
299,13.600000,13.600000,13.200000,0.04072155363,202.000000,8132.12239882000
300,13.400000,10.000000,10.300000,0.01566590383,538.000000,6270.99347590000
301,12.800000,5.100000,7.400000,0.02702368427,839.000000,1467.69617437000
302,13.200000,8.100000,8.100000,0.02346977409,378.000000,1134.98712963000
303,13.300000,9.400000,6.800000,0.01908368805,637.000000,0.00000000000
304,13.100000,7.200000,6.600000,0.01651869118,794.000000,0.00000000000
305,13.300000,9.800000,12.700000,0.01624006404,366.000000,177.39304100100
306,13.100000,8.400000,10.900000,0.03003437025,237.000000,227.19592543300
307,13.200000,8.900000,11.800000,0.01989153266,303.000000,0.00000000000
308,12.900000,5.600000,9.100000,0.02289553512,255.000000,802.28708659400
309,13.400000,10.200000,8.400000,0.02431555649,1072.000000,12858.47471460000
310,13.500000,11.300000,7.800000,0.02742446235,302.000000,1067.17587024000
311,13.400000,10.400000,6.700000,0.02068255854,327.000000,377.32907820500
312,13.300000,9.800000,11.900000,0.02388777437,575.000000,5212.67296688000
313,13.400000,10.100000,11.500000,0.03091517436,570.000000,7101.32965954000
314,13.300000,9.700000,12.000000,0.02835841229,380.000000,1257.61015289000
315,13.400000,9.400000,6.800000,0.01993802952,710.000000,205.36155567300
316,12.800000,4.300000,7.700000,0.03849864055,439.000000,261.20796288200
317,13.000000,5.900000,9.100000,0.02525626468,768.000000,3481.39565014000
318,12.200000,3.000000,5.900000,0.01952706195,267.000000,10027.06276030000
319,12.900000,5.200000,6.600000,0.02190510878,284.000000,6784.13365093000
320,12.800000,4.600000,8.200000,0.02052237827,305.000000,2243.14798460000
321,12.000000,3.300000,6.500000,0.01936663922,130.000000,1942.03307760000
322,13.300000,7.700000,6.400000,0.01771500825,502.000000,3930.53010577000
323,13.400000,9.300000,5.700000,0.01995748740,607.000000,479.54641461900
324,13.000000,5.500000,7.100000,0.02124817859,532.000000,0.00000000000
325,13.500000,11.100000,13.900000,0.01626861275,661.000000,25420.72969110000
326,13.400000,10.000000,6.800000,0.02233550613,316.000000,544.59379071700
327,12.900000,4.500000,4.300000,0.02972700432,427.000000,0.00000000000
328,13.500000,10.600000,7.700000,0.01923792842,330.000000,9462.79166083000
329,11.200000,1.400000,3.700000,0.02144706154,476.000000,4172.00705458000
330,13.200000,8.000000,6.800000,0.02958663150,1051.000000,12405.24020550000
331,12.900000,4.900000,6.600000,0.04488780466,1167.000000,317.72780671400
332,13.100000,6.100000,7.400000,0.02281562841,479.000000,30.21692862400
333,13.200000,6.800000,5.000000,0.02174474760,1242.000000,195.94387905200
334,12.300000,2.900000,4.200000,0.03227040077,1009.000000,45.65103574680
335,13.400000,9.100000,6.000000,0.02602768629,895.000000,1229.17591717000
336,13.600000,12.200000,18.800000,0.01569918730,226.000000,4747.38689178000
337,13.700000,12.700000,17.800000,0.02246156741,76.000000,38681.09451070000
338,13.500000,10.600000,17.400000,0.01873251880,192.000000,5720.25952616000
339,13.700000,12.800000,16.700000,0.04824487653,32.000000,10046.02487370000
340,13.500000,11.000000,13.500000,0.02874296501,172.000000,6110.86560554000
341,13.700000,13.500000,16.100000,0.02154071216,9.000000,1061.18314669000
342,13.600000,11.500000,14.500000,0.01790318966,196.000000,11632.88801420000
343,13.600000,12.200000,14.700000,0.05339245919,13.000000,0.00000000000
344,13.600000,12.100000,14.200000,0.02980495118,18.000000,1485.28222241000
345,13.600000,11.400000,15.500000,0.01391232048,56.000000,6854.80259662000
346,13.600000,12.300000,14.900000,0.01928753891,162.000000,1432.78687967000
347,13.400000,10.000000,14.700000,0.01840140136,176.000000,0.00000000000
348,13.100000,7.900000,12.300000,0.01663690085,339.000000,9731.18182810000
349,12.800000,5.600000,10.600000,0.02288338302,267.000000,12093.86027400000
350,13.600000,11.300000,15.500000,0.01509361021,213.000000,845.35868880700
351,13.100000,7.800000,13.200000,0.02905269673,1537.000000,3059.81778116000
352,12.700000,6.500000,10.700000,0.01712844309,368.000000,57813.24108420000
353,12.800000,5.000000,9.300000,0.03207755013,621.000000,103536.19662800000
354,13.500000,11.100000,13.900000,0.02828449065,661.000000,25420.72969110000
355,13.400000,10.300000,12.800000,0.01129437098,356.000000,1615.87873715000
356,13.500000,11.100000,13.000000,0.01409720328,319.000000,228.53504412800
