"region","sido.code","OBJECTID","SIGUNGU_CD","SIGUNGU_NM","sido_name","collect_count","collect_15amount","disposal_count","disposal_15amount","capacity","index"
"전라북도_고창군","35",175,"35370","고창군","전라북도",5,134106.48,6,159885,12085,-25778.52
"전라북도_부안군","35",176,"35380","부안군","전라북도",3,42,4,69597,12200,-69555
"전라남도_목포시","36",177,"36010","목포시","전라남도",28,125412.19,2,9672,4008,115740.19
"전라남도_여수시","36",178,"36020","여수시","전라남도",88,1052631.58,58,800561,1637832.55,252070.58
"전라남도_순천시","36",179,"36030","순천시","전라남도",27,870742.04,27,1216880.72,32742.6,-346138.68
"전라남도_나주시","36",180,"36040","나주시","전라남도",10,475841.78,34,643101,32832.5,-167259.22
"전라남도_광양시","36",181,"36060","광양시","전라남도",87,7880090.51,32,4086588.489,36385.5,3793502.021
"전라남도_담양군","36",182,"36310","담양군","전라남도",3,8963.17,4,264163.013,4200,-255199.843
"전라남도_곡성군","36",183,"36320","곡성군","전라남도",5,12599.83,8,14108,4560,-1508.17
"전라남도_구례군","36",184,"36330","구례군","전라남도",9,25328.75,0,0,0,25328.75
"전라남도_고흥군","36",185,"36350","고흥군","전라남도",1,2012,2,28436,130,-26424
"전라남도_보성군","36",186,"36360","보성군","전라남도",3,115514.92,9,187837,8386,-72322.08
"전라남도_화순군","36",187,"36370","화순군","전라남도",4,33628.56,16,108962,13550.4,-75333.44
"전라남도_장흥군","36",188,"36380","장흥군","전라남도",5,26242,11,133472,8284.5,-107230
"전라남도_강진군","36",189,"36390","강진군","전라남도",3,37012.56,7,117438.293,8253,-80425.733
"전라남도_해남군","36",190,"36400","해남군","전라남도",3,102089.76,9,274460,16231,-172370.24
"전라남도_영암군","36",191,"36410","영암군","전라남도",11,0,25,825537,33654.7,-825537
"전라남도_무안군","36",192,"36420","무안군","전라남도",7,527449.1,26,566216,20617.9,-38766.9
"전라남도_함평군","36",193,"36430","함평군","전라남도",7,21627.35,20,242251.3,8533.75,-220623.95
"전라남도_영광군","36",194,"36440","영광군","전라남도",3,3224.32,11,146139,12614,-142914.68
"전라남도_장성군","36",195,"36450","장성군","전라남도",9,41908.2,25,286069,7390,-244160.8
"전라남도_완도군","36",196,"36460","완도군","전라남도",11,20627.4,4,18319,4063,2308.4
"전라남도_진도군","36",197,"36470","진도군","전라남도",7,16079.2,1,0,3,16079.2
"전라남도_신안군","36",198,"36480","신안군","전라남도",2,0,0,0,0,0
"경상북도_포항시","37",199,"37011","포항시","경상북도",127,6769834.67,84,6438730,4991029.66,331104.67
"경상북도_포항시","37",200,"37012","포항시","경상북도",127,6769834.67,84,6438730,4991029.66,331104.67
"경상북도_경주시","37",201,"37020","경주시","경상북도",105,1370879.14,111,2106694.1231,6759318.47,-735814.9831
"경상북도_김천시","37",202,"37030","김천시","경상북도",38,505070.91,75,537752,21017.9,-32681.09
"경상북도_안동시","37",203,"37040","안동시","경상북도",18,420423.66,23,421557,29612.534,-1133.34000000003
"경상북도_구미시","37",204,"37050","구미시","경상북도",36,954529.18,97,1929965.806,6427521.479,-975436.626
"경상북도_영주시","37",205,"37060","영주시","경상북도",9,96722.13,20,201679.49,30643.8,-104957.36
"경상북도_영천시","37",206,"37070","영천시","경상북도",36,100136.82,117,504165.74,15916.2,-404028.92
"경상북도_상주시","37",207,"37080","상주시","경상북도",9,108805.19,21,262301,12801,-153495.81
"경상북도_문경시","37",208,"37090","문경시","경상북도",18,281234.84,32,245312,26158.5,35922.84
"경상북도_경산시","37",209,"37100","경산시","경상북도",31,423507.97,98,803573,22726.78,-380065.03
"경상북도_군위군","37",210,"37310","군위군","경상북도",5,19329.36,8,3249.62,56,16079.74
"경상북도_의성군","37",211,"37320","의성군","경상북도",9,369512.93,19,389968,18127,-20455.07
"경상북도_청송군","37",212,"37330","청송군","경상북도",4,56649.76,2,50800,8000,5849.76
